# Adjudicated single-field card corrections, 2026-07-26.
#
# Re-applied on every `plan_repairs()` (see vocab/handfixes.py), so a
# re-enrichment that reintroduces the defect is corrected again rather than
# quietly winning. Every row was read by hand against the German definition
# and examples, not against the Russian gloss alone.
#
# article   the card is pos=noun with no article. Nominalised adjectives
#           (der/die Deutsche, das Erste) legitimately have none and are NOT
#           here — 279 of the 375 flagged were exactly that. What is here is
#           an ordinary noun that lost its article, plus pluralia tantum
#           (Eltern, Ferien, Cornflakes) which take `die`.
# ru        the primary gloss was copied from a case twin: `das Ich` is the
#           philosophical ego, not the pronoun; `die Elf` is a football team.
# ru_all    several meanings crammed into one entry. Search scores each entry
#           whole, so "приходить, прибывать" matches the query «приходить» at
#           0.63 where the split entry matches at 1.00 — the commonest word
#           loses to any rival that happened to split its senses. Only true
#           packing is split: a Russian participial phrase ("лицо, ищущее
#           убежища") is ONE meaning and stays whole — 155 of 184 were that.
#
# lemma	field	value	why
Acht	ru	восьмёрка (цифра, номер); ист. опала, изгнание	die Acht — субстантивированное числительное (цифра/номер) плюс устаревшее юридическое значение «опала»; «восемь» это про
Agar-Agar	article	das	«das Agar-Agar»
Amen	ru	одобрение, благословение	в выражении «sein Amen zu etwas geben» das Amen значит формальное одобрение/благословение, а не просто междометие «аминь
Anguss	ru_all	["литник", "прибыль (слитка)", "выступ", "бобышка"]	«выступ, бобышка» — два независимых существительных-синонима для третьего значения
Atembeschwerden	article	die	форма мн.ч. от «die Beschwerde» (ед.ч. употребимо)
Betriebsdaten	article	die	форма мн.ч.; техническое ед.ч. «das Datum» существует, но разошлось по смыслу с «Daten»
Biowissenschaften	article	die	форма мн.ч. от «die Wissenschaft»
Biskuit	article	der	у Duden колеблющийся род der/das Biskuit
Blouson	article	der	«der Blouson» (франц. заимствование, м.р.)
Boatpeople	article	die	заимствованное англ. «people» уже во мн.ч., нем. ед.ч. не образовано
Bodenbakterien	article	die	форма мн.ч. от «die Bakterie»
Buhrufe	article	die	форма мн.ч. от «der Ruf»
Calisthenics	article	das	название дисциплины-заимствования по образцу «das Yoga/Jogging»
Chips	article	die	заимствованное английское мн.ч. как «чипсы»; единственное «ein Chip» для этого значения не используется
Cornflakes	article	die	заимствованное английское мн.ч., собственного нем. ед.ч. нет (как Chips)
Crackers	article	die	заимствованное англ. мн.ч. по аналогии с Chips/Cornflakes
Curry	article	das	у Duden колеблющийся род der/das Curry, в Германии для этого значения чаще «das»
Depositen	article	die	форма мн.ч. от «das Depositum» (юр./банк. термин, ед.ч. употребимо)
Detergenzien	article	die	форма мн.ч. от «das Detergens» (химический термин, ед.ч. употребимо)
Dreißigerjahre	article	die	обозначение десятилетия
Elf	ru	сборная, команда (из одиннадцати игроков)	die Elf — футбольная команда (метонимия по числу игроков); собственный пример карточки именно об этом, а числительное el
Erstsemester	article	der	не прилагательное, а неизменяемое существительное; род/артикль зависит от пола референта, «der» взят как генерик по умол
Fertigungsunterlagen	article	die	форма мн.ч. от «die Unterlage»
Filmleute	article	die	«Leute» — плюралия тантум
Finanzkreise	article	die	форма мн.ч. от «der Kreis»
Fünfzigerjahre	article	die	обозначение десятилетия
Geistesgaben	article	die	форма мн.ч. от «die Gabe»
Gender-Pay-Gap	article	der	составное заимствование, употребляется с «der Gender-Pay-Gap»
Geschäftsverbindungen	article	die	форма мн.ч. от «die Verbindung» (ед.ч. «eine Geschäftsverbindung» стандартно в коммерческом языке)
Getreideerzeugnisse	article	die	форма мн.ч. от «das Erzeugnis»
Grabarbeiten	article	die	форма мн.ч. от «die Arbeit»
Grundchemikalien	article	die	форма мн.ч. от «die Chemikalie»
Grundmittel	article	die	«Mittel» — ср.р., ед. и мн.ч. совпадают по форме, для мн.ч. нужен артикль «die»
Gummi	article	der	«der Gummi» (в Австрии допустимо «das Gummi»)
Halbgeschwister	article	die	«Geschwister» — плюралия тантум того же класса, что и «Eltern» из примера задания
Halfter	article	das	у Duden колеблющийся род der/das Halfter; для сбруи (основное значение) чаще «das»
Halluzinogene	article	die	обычное сущ. на -gen (как Allergen, Karzinogen), НЕ субстантивированное прилагательное; форма мн.ч. от «das Halluzinogen
