# Supplemental A1–C2 Wortschatz (fills B2/C1/C2). Source: github.com/abdullahbutt/deutsch-lernen-goethe-a1-c2
# lemma	level	article	plural
3D-Druck	c1	der	
A und O	c2	das	
Abend	a1	der	-e
Abfahrt	a1	die	-en
Abfall	a2	der	-̈e
Abflug	b1	der	
Abgeordnete	b2	der	-n
Abgrenzung	c2	die	
Abhandlung	c1	die	-en
Abholzung	c1	die	
Abhängigkeit	b1	die	
Absatz	b2	der	
Abschied nehmen	b2		
Abstimmung	b1	die	-en
Abstraktion	c1	die	
Abteilung	a2	die	-en
Adresse	a1	die	-n
Akku	a2	der	-s
Akquisition	c1	die	-en
Aktie	b2	die	-n
Aktion	a2	die	-en
Algorithmus	b2	der	-en
Allegorie	c2	die	
Alleinerziehende	b2	die	-n
Aller Anfang ist schwer.	c2		
Allergie	a2	die	-n
Allianz	c2	die	-en
Alltag	b1	der	
Alter	a1	das	
Altstadt	b1	die	
Ambiguität	c2	die	
Ambivalenz	c1	die	
Amortisation	c1	die	
Ampel	a2	die	-n
Amt	a2	das	-̈er
Amtszeit	b2	die	-en
Analogie	c2	die	
Analyse	b2	die	-n
Anfang	a1	der	-̈e
Anforderung	b1	die	-en
Angebot	b1	das	-e
Angeklagte	b2	der	-n
Angst	a2	die	-̈e
Anklage	b2	die	-n
Ankunft	a2	die	
Anmeldung	a1	die	-en
Annexion	c2	die	
Ansatz	b2	der	-̈e
Anspielung	c2	die	-en
Antikörper	c1	die	
Antrag	a2	der	-̈e
Antwort	a1	die	-en
Anwalt	b2	der	-̈e
Apfel	a1	der	-̈
Apfel fällt nicht weit vom Stamm.	c2	der	
Apotheke	a1	die	-n
App	a2	die	-s
April	a1	der	
Arbeit	a1	die	-en
Arbeitgeber	a2	der	-
Arbeitnehmer	a2	der	-
Arbeitslosigkeit	b1	die	
Argumentation	c1	die	
Arm	a2	der	-e
Armut	b1	die	
Artenschutz	b1	der	
Artensterben	c1	die	
Artenvielfalt	b2	die	
Artikel	b1	der	-
Arzt	a1	der	-̈e
Atomkraft	b1	die	
Aufenthaltserlaubnis	a2	die	
Aufforstung	b2	die	
Aufführung	a2	die	-en
Aufgabe	a1	die	-n
Aufklärung	c2	die	
Aufnahmeprüfung	b1	die	
Aufstieg	b1	der	
Auftrag	b1	der	-̈e
Aufzug	a1	der	-̈e
Auge	a1	das	-n
August	a1	der	
Ausbildung	a2	die	-en
Ausdrucksform	b2	die	-en
Ausflug	a1	der	-̈e
Ausgabe	b1	die	-n
Auskunft	a1	die	-̈e
Ausland	a1	das	
Auslandssemester	b1	das	
Ausländer	b1	der	-
Aussicht	a1	die	-en
Ausstellung	a2	die	-en
Ausstoß	b2	der	
Austausch	a2	der	
Austria	a1		
Auswahl	a2	die	
Auswertung	b2	die	-en
Auszeichnung	b2	die	-en
Auto	a1	das	-s
Autobahn	a1	die	-en
Automatisierung	b2	die	
Autonomie	c1	die	
Autoritarismus	c1	der	
Außenpolitik	b2	die	
Avantgarde	c2	die	
Axiom	c2	das	-e
Baby	a1	das	-s
Babysitterin	b2	die	-nen
Bachelor	b1	der	
Badewanne	a2	die	-n
Bahnhof	a1	der	-̈e
Bahnsteig	a1	der	-e
Balkon	a1	der	-e/-s
Banane	a1	die	-n
Bank	a1	die	-en
Barock	c2	der	
Bauch	a1	der	-̈e
Baum	a1	der	-̈e
Baumwolle	a2	die	
Bauwerk	b1	das	-e
Beamte	a2	der	-n
Befund	b2	der	-e
Behandlung	a2	die	-en
Behörde	a2	die	-n
Beilage	a2	die	-n
Bein	a2	das	-e
Beispiel	a1	das	-e
Beitrag	b1	der	-̈e
Benachteiligung	c1	die	
Benzin	a1	das	
Beobachtung	b2	die	-en
Berg	a1	der	-e
Bericht	b1	der	-e
Beruf	a1	der	-e
Berufsschule	b1	die	
Berufung	c1	die	
Bescheid geben	b2		
Bescheinigung	a2	die	-en
Besen	a2	der	-
Besprechung	a2	die	-en
Bestreben	c2	das	
Betrag	a2	der	-̈e
Betrieb	a2	der	-e
Bett	a1	das	-en
Bewegung	b1	die	
Beweis	b2	der	-e
Beweisführung	c1	die	
Beweislast	c1	die	
Bewerbung	a2	die	-en
Bewertung	b1	die	-en
Bewohner	b1	der	-
Bewusstsein	b2	das	
Beziehung	a2	die	-en
Bibliothek	a1	die	-en
Bier	a1	das	-e
Bilanz	b2	die	-en
Bilanzierung	c1	die	
Bild	a1	das	-er
Bildschirm	a2	der	-e
Bildung	b1	die	
Bioethik	c1	die	
Biotechnologie	c1	die	
Blatt	a2	das	-̈er
Bleistift	a2	der	-e
Blockfreiheit	c2	die	
Blume	a1	die	-n
Bluse	a1	die	-n
Blut	a2	das	
Blutdruck	a2	der	
Blutprobe	b2	die	-n
Boden	a1	der	-̈
Bohne	a2	die	-n
Botschaft	a2	die	-en
Brathähnchen	a2	das	-
Bremse	a2	die	-n
Brief	a1	der	-e
Brille	a1	die	-n
Brot	a1	das	-e
Bruder	a1	der	-̈
Bruttoinlandsprodukt	b2	das	
Brötchen	a1	das	-
Brücke	b1	die	-n
Buch	a1	das	-̈er
Buchstabe	a1	der	-n
Buchung	b1	die	-en
Budget	b1	das	
Bundestag	b2	der	
Burnout	c1	die	
Bus	a1	der	-se
Butter	a1	die	
Bäckerei	a1	die	-en
Börse	b2	die	
Bündnispolitik	c1	die	
Bürde	c2	die	-n
Bürger	a2	die	-
Bürgersteig	a2	der	-e
Bürgertum	c2	das	
Büro	b1	das	-s
Bürokratie	b2	die	
CO2-Emissionen	c1	das	
Café	a1	das	-s
Campingplatz	b1	der	-̈e
Chancengleichheit	c1	die	
Chef	a1	der	-s
Chefin	a1	die	-nen
Christmas	a1		
Chromosomen	c1	die	
Compliance	c1	die	
Computer	a1	der	-
Datei	a2	die	-en
Daten	a2	die	
Datenbank	b2	die	-en
Datenerhebung	b2	die	
Datenschutz	b1	der	
Datum	a1	das	Daten
Debatte	b2	die	-n
December	a1		
Decke	a2	die	-n
Deduktion	c2	die	
Deflation	c1	die	
Dekadenz	c2	die	
Dekarbonisierung	c1	die	
Dem ist entgegenzuhalten	c1		dass ...
Demenz	c1	die	
Demografie	c1	die	
Demokratie	b1	die	
Demonstration	b1	die	-en
Depression	b2	die	-en
Deregulierung	c1	die	
Desertifikation	c1	die	
Determinismus	c1	der	
Deutschland	a1		
Dezember	a1	der	
Diagnose	b2	die	-n
Dialektik	c1	die	
Dichotomie	c2	die	
Dienstag	a1	der	-e
Dies legt den Schluss nahe	c1		dass ...
Diese These hält einer Überprüfung nicht stand.	c1		
Digitalisierung	b2	die	
Diplomatie	c1	die	
Diskrepanz	c2	die	
Diskriminierung	b1	die	
Dissertation	c1	die	
Distinktion	c2	die	
Divergenz	c2	die	
Diversität	c1	die	
Dividende	b2	die	-n
Diät	b1	die	-en
Doktor	a1	der	-en
Dokument	a2	das	-e
Donner	a2	der	
Donnerstag	a1	der	-e
Dorf	a1	das	-̈er
Dose	a2	die	-n
Dozent	b1	der	-en
Drehbuch	b2	das	-̈er
Dringlichkeit	c2	die	
Drohne	c1	die	-n
Drucker	a2	der	-
Drängen	c2	das	
Durst	a1	der	
Dusche	a1	die	-n
Détente	c2	die	
Dürre	b2	die	-n
E-Mail	a1	die	-s
Effizienzsteigerung	c1	die	
Ei	a1	das	-er
Eigenschaft	b1	die	-en
Einbahnstraße	a2	die	-n
Einbauküche	a2	die	-n
Einbürgerung	b2	das	
Einfluss	b2	der	-̈e
Einfluss ausüben	b2		
Eingang	a1	der	-̈e
Einkaufswagen	a2	der	-
Einkaufszentrum	a2	das	
Einkommen	b1	das	
Einrichtung	b1	die	-en
Eintrittskarte	a1	die	-n
Einwanderung	b1	die	
Einwanderungspolitik	b2	die	
Eis	a1	das	
Elaboration	c2	die	
Eltern	a1	die	
Elterngeld	b2	das	
Elternzeit	b2	die	
Emanzipation	c1	die	
Emission	b1	die	-en
Emissionshandel	c1	die	
Emotion	b2	die	-en
Empathie	b2	die	
Ende	a1	das	
Ende gut	c2		alles gut.
Energie	b1	die	-n
Energiespeicher	c1	die	
Energiewende	b2	die	
Entdeckung	b2	die	-en
Entfernung	a2	die	-en
Enthaltung	c1	die	
Entwicklung	b2	die	-en
Epidemie	b2	die	-n
Epidemiologie	c1	die	
Epistemologie	c1	die	
Epoche	b2	die	-n
Erbe	b2	das	
Erdbeben	b1	das	-
Erdbeere	a1	die	-n
Erde	a2	die	
Erderwärmung	b1	die	
Erdgeschoss	a2	das	
Erfahrung	a2	die	-en
Erfolg	b1	der	-e
Ergebnis	a2	das	-se
Erinnerung	a2	die	-en
Erkenntnis	b2	die	-se
Erkenntnisse gewinnen	c2		
Erkältung	a2	die	-en
Erlaubnis	b1	die	
Ermittlung	c1	die	-en
Ermäßigung	a2	die	-en
Ernährung	a2	die	
Erziehung	b2	die	
Es bedarf keiner weiteren Erklärung.	c1		
Es bedarf weiterer Forschung.	c1		
Es drängt sich die Frage auf	c1		ob ...
Es ist darauf hinzuweisen	c1		dass ...
Es ist noch kein Meister vom Himmel gefallen.	c2		
Es liegt auf der Hand	c1		dass ...
Es lässt sich nicht bestreiten	c1		dass ...
Es mangelt an überzeugenden Belegen.	c1		
Es sei darauf verwiesen	c1		dass ...
Es steht außer Frage	c1		dass ...
Es wäre verfehlt zu glauben	c1		dass ...
Eskalation	c2	die	
Essen	a1	das	-
Etage	a2	die	-n
Ethik	c1	die	
Eulen nach Athen tragen	c2		
Euphemismus	c2	der	-en
Evidenz	c1	die	
Evidenz liefern	c2		
Exekutive	b2	die	
Experiment	b2	das	-e
Experte	b2	der	-n
Export	b2	der	
Expressionismus	c2	der	
Extrapolation	c2	die	
Fach	a2	das	-̈er
Fahrkarte	a1	die	-n
Fahrrad	a1	das	-̈er
Fake News	b1	die	
Fakten sprechen eine deutliche Sprache.	c1	die	
Faktor	b2	der	-en
Familie	a1	die	-n
Farbe	a1	die	-n
Februar	a1	der	
February	a1		
Fehler	a1	der	-
Feier	a1	die	-n
Feiertag	a1	der	-e
Feingefühl	c2	das	
Fenster	a1	das	-
Ferien	a1	die	
Ferienwohnung	b1	die	-en
Fernseher	a1	der	-
Fest	a1	das	-e
Festplatte	a2	die	-n
Fett	a2	das	
