# Goethe/ÖSD A1–B1 Wortliste. Source: github.com/ilkermeliksitki/goethe-institute-wordlist
# lemma	level	article	plural	example_de
(Back-)Ofen	b1	der	¨- (D, CH)(1)	Ich habe gerade eine Pizza gemacht.
(Back-)Rohr	b1	das	-e (A) → D, CH: (Back-)Ofen(1)	Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Rohr.
(E-)Mail	a2	die	-s	Ich schreibe Ihnen/dir eine E-Mail.
(Fahr)Rad	a2	das	¨-er	Wenn es nicht regnet, fahre ich mit dem Fahrrad.
(Kredit)-Karte	a1		-n	Kann ich auch mit Karte (be-) zahlen?
(Schlag-)Rahm (CH) → D: (Schlag-)Sahne	b1	der	A: (Schlag-)Obers(1)	Ich hätte gern ein Stück Torte mit (Schlag-)Rahm.
(Schlag-)Sahne (D) → A: (Schlag-)Obers; CH: (Schlag-)Rahm	b1	die		Ich hätte gern ein Stück Torte mit Sahne.
(ab)fahren	a2			Ich fahre mit dem Auto zur Arbeit.
(ab)fliegen	a2		fliegt (ab)	Ich fliege in den Ferien nach Spanien.
(an-)/(aus)ziehen	a2		zieht (an/aus)	Ich ziehe (mir) eine Jacke an.
(aus)tauschen	a2		tauscht (aus)	Können wir bitte die Plätze tauschen?
(ein) paar	b1			Ich komme gleich. Es dauert nur ein paar Minuten.
(sich etwas) aussuchen	b1			Such dir etwas Schönes aus! Ich lade dich ein.
(sich etwas) kaufen	b1		kauft, kaufte, hat gekauft(1)	Im Supermarkt kauft man sehr günstig ein.
(sich) anmelden	a1			Wo kann ich mich anmelden?
(sich) anziehen	a1			Ich muss mich noch anziehen.
(sich) ausruhen	b1			Sie ruhen sich von der Arbeit aus.
(sich) ausziehen	a1			Zieh die Schuhe aus, bitte!
(sich) duschen	a1			Ich bade nicht so gern, ich dusche lieber.
(sich) freuen	a1			Ich freue mich auf den Urlaub.
(sich) fürchten	b1			Sie fürchtet sich vor Schlangen.
(sich) rasieren	b1		rasiert, rasierte, hat rasiert(1)	Dein Bart ist aber lang! Du solltest dich mal wieder rasieren.
(sich) schneiden	b1		schneidet, schnitt, hat geschnitten(1)	Das Messer schneidet nicht.
(sich) setzen	b1		setzt, setzte, hat gesetzt(1)	Darf ich mich zu Ihnen setzen?
(sich) siezen	b1		siezt, siezte, hat gesiezt(1)	Obwohl sie sich schon lange kennen, siezten sie sich.
